peptide_name,R33P01_01_N003_IBD-Chile_A_T_C2,R33P01_02_N006_IBD-Chile_A_T_C2,R33P01_03_N008_IBD-Chile_A_T_C2,R33P01_04_N011_IBD-Chile_A_T_C2,R33P01_05_N013_IBD-Chile_A_T_C2,R33P01_06_N014_IBD-Chile_A_T_C2,R33P01_07_N015_IBD-Chile_A_T_C2,R33P01_08_N018_IBD-Chile_A_T_C2,R33P01_09_N020_IBD-Chile_A_T_C2,R33P01_10_N021_IBD-Chile_A_T_C2,R33P01_11_N022_IBD-Chile_A_T_C2,R33P01_12_N023_IBD-Chile_A_T_C2,R33P01_13_N025_IBD-Chile_A_T_C2,R33P01_14_N027_IBD-Chile_A_T_C2,R33P01_15_N029_IBD-Chile_A_T_C2,R33P01_16_N030_IBD-Chile_A_T_C2,R33P01_17_N031_IBD-Chile_A_T_C2,R33P01_18_N032_IBD-Chile_A_T_C2,R33P01_19_N036_IBD-Chile_A_T_C2,R33P01_20_N037_IBD-Chile_A_T_C2,R33P01_21_N038_IBD-Chile_A_T_C2,R33P01_22_N040_IBD-Chile_A_T_C2,R33P01_23_N042_IBD-Chile_A_T_C2,R33P01_24_N043_IBD-Chile_A_T_C2,R33P01_25_N046_IBD-Chile_A_T_C2,R33P01_26_N052_IBD-Chile_A_T_C2,R33P01_27_N053_IBD-Chile_A_T_C2,R33P01_28_N054_IBD-Chile_A_T_C2,R33P01_29_N057_IBD-Chile_A_T_C2,R33P01_30_N058_IBD-Chile_A_T_C2,R33P01_31_N059_IBD-Chile_A_T_C2,R33P01_32_N061_IBD-Chile_A_T_C2,R33P01_33_N065_IBD-Chile_A_T_C2,R33P01_34_N068_IBD-Chile_A_T_C2,R33P01_35_N069_IBD-Chile_A_T_C2,R33P01_36_N073_IBD-Chile_A_T_C2,R33P01_37_N083_IBD-Chile_A_T_C2,R33P01_38_N088_IBD-Chile_A_T_C2,R33P01_39_N089_IBD-Chile_A_T_C2,R33P01_40_N090_IBD-Chile_A_T_C2,R33P01_41_001_IBD-Chile_A_T_C2,R33P01_42_002_IBD-Chile_A_T_C2,R33P01_43_N005_IBD-Chile_A_T_C2,R33P01_44_N010_IBD-Chile_A_T_C2,R33P01_45_N012_IBD-Chile_A_T_C2,R33P01_46_N016_IBD-Chile_A_T_C2,R33P01_47_N017_IBD-Chile_A_T_C2,R33P01_48_N024_IBD-Chile_A_T_C2,R33P01_49_N026_IBD-Chile_A_T_C2,R33P01_50_N028_IBD-Chile_A_T_C2,R33P01_51_N033_IBD-Chile_A_T_C2,R33P01_52_N034_IBD-Chile_A_T_C2,R33P01_53_N035_IBD-Chile_A_T_C2,R33P01_54_N041_IBD-Chile_A_T_C2,R33P01_55_N044_IBD-Chile_A_T_C2,R33P01_56_N045_IBD-Chile_A_T_C2,R33P01_57_N047_IBD-Chile_A_T_C2,R33P01_58_N049_IBD-Chile_A_T_C2,R33P01_59_N050_IBD-Chile_A_T_C2,R33P01_60_N051_IBD-Chile_A_T_C2,R33P01_61_N055_IBD-Chile_A_T_C2,R33P01_62_N060_IBD-Chile_A_T_C2,R33P01_63_N063_IBD-Chile_A_T_C2,R33P01_64_N064_IBD-Chile_A_T_C2,R33P01_65_N066_IBD-Chile_A_T_C2,R33P01_66_N067_IBD-Chile_A_T_C2,R33P01_67_N070_IBD-Chile_A_T_C2,R33P01_68_N071_IBD-Chile_A_T_C2,R33P01_69_N072_IBD-Chile_A_T_C2,R33P01_70_N074_IBD-Chile_A_T_C2,R33P01_71_N076_IBD-Chile_A_T_C2,R33P01_72_N078_IBD-Chile_A_T_C2,R33P01_73_N079_IBD-Chile_A_T_C2,R33P01_74_N080_IBD-Chile_A_T_C2,R33P01_75_N081_IBD-Chile_A_T_C2,R33P01_76_N082_IBD-Chile_A_T_C2,R33P01_77_N085_IBD-Chile_A_T_C2,R33P01_78_N091_IBD-Chile_A_T_C2,R33P01_79_N092_IBD-Chile_A_T_C2,R33P01_80_N094_IBD-Chile_A_T_C2
agilent_10,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
agilent_100076,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004
agilent_100204,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
agilent_100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100240,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,
agilent_100245,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100253,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100267,,,,,,,,,,,,,,,,,,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100272,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
agilent_100301,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_10031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
agilent_100413,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.005,,,,,,,,,,,,0,,,,,,0.01,,,0
agilent_100631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100696,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agilent_100739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
agilent_10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.029,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,0.001,,,,
agilent_1008,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
